UID,versionId,beginLifeSpanVersion,CountryCode,observedPropertyDeterminandBiologyEQRCode,parameterWaterBodyCategory,parameterNCSWaterBodyType,parameterWFDIntercalibrationWaterBodyType,parameterNaturalAWBHMWB,parameterICStatusOfDeterminandBiologyEQR,parameterBoundaryValueClasses12,parameterBoundaryValueClasses23,parameterBoundaryValueClasses34,parameterBoundaryValueClasses45,procedureBiologicalAnalyticalMethodDescription,resultObservationStatus,remarks,waterbaseObservationStatus,waterbaseRemarks
3,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_11-04-1,LW,C1a,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
4,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_11-04-1,LW,C1b,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
6,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_11-04-1,LW,D2a,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
10,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,AF - A,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
11,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,AF - H2,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
12,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,AF - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
13,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,AF - I-II B,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
14,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,AM - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
15,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,AV - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
16,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,BR - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
17,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,DO - H1,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
18,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,DO - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
19,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,FH - H1,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
20,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,FH - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
21,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,AT,EEA_124-01-6,RW,GF - II,,Natural,1,0.8,0.6,0.4,0.2,,,,A,
22,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_01395,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
23,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_01670,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
24,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_01780,,Natural,0,0.94,0.75,0.5,0.31,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
25,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_02049,,Natural,0,0.94,0.75,0.5,0.29,"""toothbrush"" samplings",,We propose 16 (IBGN) as reference value and 12 for the G-M boundary after the study of historical data (samples collected during the years 1940'),A,
26,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_02295,,HMWB,0,,0.57,0.47,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
27,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_02361,,AWB,0,,0.67,0.47,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for theartificial WB (EP),A,
28,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_02420,,HMWB,0,,0.67,0.53,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
29,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03190,,HMWB,0,,0.67,0.53,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
30,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03260,,HMWB,0,,0.67,0.53,0.27,"""toothbrush"" samplings",,The class boundaries are adapted for the HMWB (EP),A,
31,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03315,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
32,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03381,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
33,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_BiologyEQRClassificationProcedure/0.html,2015-11-30,BE,EEA_124-01-6,RW,BERW_03405,,Natural,0,0.97,0.74,0.49,0.29,"""toothbrush"" samplings",,We are now able to propose 17;5 as reference value and 12 as G-M boundary for this IC type,A,
